Reference, Value, Footprint, Datasheet, manf#
B1,I_O,mmM:I_O,,
B10,PC6,mmM:I_O,,
B11,PC7,mmM:I_O,,
B12,PB0,mmM:I_O,,
B2,I_O,mmM:I_O,,
B3,I_O,mmM:I_O,,
B4,PB0,mmM:I_O,,
B7,PC1,mmM:I_O,,
B8,PC0,mmM:I_O,,
B9,PC1,mmM:I_O,,
BT1,BATT_HOLDER,mmM:CR2032,,3003
BT2,BATT_COIN,,,CR2032
C1,100nF,mmM:c_0805,,CL21B104KCC5PNC
C2,22pF,mmM:c_0603,,CL10C220JB8NNNC
C3,22pF,mmM:c_0603,,CL10C220JB8NNNC
C4,100nF,mmM:c_0805,,CL21B104KCC5PNC
C5,330uF 25V,mmM:C_ELCO_SMD_8x10,,UCL1E331MNL1GS
C6,330uF 25V,mmM:C_ELCO_SMD_8x10,,UCL1E331MNL1GS
C7,100nF,mmM:c_0805,,CL21B104KCC5PNC
C8,100nF,mmM:c_0805,,CL21B104KCC5PNC
C9,100nF,mmM:c_0805,,CL21B104KCC5PNC
C10,100nF,mmM:c_0805,,CL21B104KCC5PNC
C11,100nF,mmM:c_0805,,CL21B104KCC5PNC
C12,10nF,mmM:c_0805,,CL21B103KBANNNC
C13,100nF,mmM:c_0805,,CL21B104KCC5PNC
C14,100nF,mmM:c_0805,,CL21B104KCC5PNC
C15,10nF,mmM:c_0805,,CL21B103KBANNNC
C16,100uF 10V,mmM:C_2917_HandSoldering,,TPSD107M010R0050
C17,100nF,mmM:c_0805,,CL21B104KCC5PNC
C18,100uF 10V,mmM:C_2917_HandSoldering,,TPSD107M010R0050
C23,100nF,mmM:c_0805,,CL21B104KCC5PNC
C27,100uF,mmM:C_ELCO_SMD_6x8,,UWT1V101MCL1GS
C28,100nF,mmM:c_0805,,CL21B104KCC5PNC
C29,100nF,mmM:c_0805,,CL21B104KCC5PNC
C31,100nF,mmM:c_0805,,CL21B104KCC5PNC
D1,ES1D-13-F,mmM:Diode-SMA,,ES1D-13-F
D2,SS35,mmM:DO-214AB,,SS35
D3,ES1D-13-F,mmM:Diode-SMA,,ES1D-13-F
D4,ES1D-13-F,mmM:Diode-SMA,,ES1D-13-F
D5,5V0,mmM:led_0805,,LG M67K-H1J2-24-Z
D6,3V3,mmM:led_0805,,LG M67K-H1J2-24-Z
D7,BLINK,mmM:led_0805,,LG M67K-H1J2-24-Z
D8,12V,mmM:led_0805,,LG M67K-H1J2-24-Z
D9,ES1D-13-F,mmM:Diode-SMA,,ES1D-13-F
D10,SS35,mmM:DO-214AB,,SS35
G1,Logo_Wyolum,mmM:Logo-WL3,,
G2,Logo_Wyolum,mmM:Logo-WL3,,
G3,Logo_OH,mmM:OSHW_6mm,,
G4,Logo_OH,mmM:OSHW_6mm,,
J1,5V_EXT,mmM:Header_3,,PREC003SAAN-RC
J2,3V3_EXT,mmM:Header_3,,PREC003SAAN-RC
L1,33uH,mmM:Choke_SMD_Wuerth-784775133,,784775133
L2,33uH,mmM:Choke_SMD_Wuerth-784775133,,784775133
P1,AREF,mmM:ShortLink2,,
P4,ICSP,mmM:Header_ISP,,PREC003DAAN-RC
P5,FTDI,mmM:Header_FTDI,,PREC006SAAN-RC
P7,GAGE_PR,mmM:HCEM500GUH9P3,,HCEM500GUH9P3
P9,C3SB,mmM:pin_strip_4-90,,PREC004SAAN-RC
P10,C3SB,mmM:pin_strip_4-90,,PREC004SAAN-RC
P11,VSel_Vlv,mmM:Header_3,,PREC003SAAN-RC
P13,PWR_IN,mmM:Header_2,,PRPC002SFAN-RC
P14,X_VALVE,mmM:X_Valve_2,,X-1-05-S-F
P17,PUMP,mmM:Pump_P54E01R_02,,P54E01R
P18,Pump_Cable,,,
P24,PWR_IN,mmM:JACK_ALIM,,PJ-002B
P34,VSel_Vlv2,mmM:Header_3,,PREC003SAAN-RC
P38,X_VALVE2,mmM:X_Valve_2,,X-1-05-S-F
Q1,BCP5416TA,mmM:SOT223,,BCP5416TA
Q2,BCP5416TA,mmM:SOT223,,BCP5416TA
Q3,BCP5416TA,mmM:SOT223,,BCP5416TA
Q4,BCP5416TA,mmM:SOT223,,BCP5416TA
R1,10k,mmM:r_0805,,RMCF0805JT10K0
R2,10k,mmM:r_0805,,RMCF0805JT10K0
R3,10k,mmM:r_0805,,RMCF0805JT10K0
R4,10k,mmM:r_0805,,RMCF0805JT10K0
R5,4k7,mmM:r_0805,,RMCF0805JT4K70
R6,1k,mmM:r_0805,,RMCF0805JT1K00
R7,Zero,mmM:r_0805,,RMCF0805ZT0R00
R8,330E,mmM:r_0805,,RMCF0805JT330R
R9,120E,mmM:r_0805,,RMCF0805JT120R
R10,1k,mmM:r_0805,,RMCF0805JT1K00
R11,10k,mmM:r_0805,,RMCF0805JT10K0
R12,10k,mmM:r_0805,,RMCF0805JT10K0
R13,1k,mmM:r_0805,,RMCF0805JT1K00
R14,10k,mmM:r_0805,,RMCF0805JT10K0
R15,10k,mmM:r_0805,,RMCF0805JT10K0
R16,10k,mmM:r_0805,,RMCF0805JT10K0
R21,10k,mmM:r_0805,,RMCF0805JT10K0
R22,10k,mmM:r_0805,,RMCF0805JT10K0
SC6,SCREW,mmM:vite_3mm,,
SC7,SCREW,mmM:vite_3mm,,
SC9,SCREW,mmM:vite_3mm,,
SC10,SCREW,mmM:vite_3mm,,
SP1,BUZZER,mmM:Speaker,,PS1240P02BT
SW1,Reset,mmM:SW_PB_V_H,,FSMRA3JH
SW2,INT0,mmM:SW_PB_V_H,,FSMRA3JH
SW3,INT1,mmM:SW_PB_V_H,,FSMRA3JH
U1,TXB0104D,mmM:TXB0104D_null,,TXB0104DR
U2,LM2675-5.0,mmM:SO8E,,LM2675MX-5.0/NOPB
U3,LM2675-3.3,mmM:SO8E,,LM2675MX-3.3/NOPB
U5,DS3231N,mmM:DS3231,,DS3231S#
U7,ATMEGA328P-AU-ND,mmM:TQFP32,,ATMEGA328-AU
W1,EN,mmM:r_0805,,
W2,EN,mmM:r_0805,,
X1,16MHz,mmM:Xtal_SMD3,,TSX-3225 16.0000MF09Z-AC3
